MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0.7- , Train Loss: 0.0477, Train Accuracy: 84.70, Validation Loss: 0.0867, Validation Accuracy: 96.50%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0.8- , Train Loss: 0.1218, Train Accuracy: 78.33, Validation Loss: 0.3719, Validation Accuracy: 74.84%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0.9- , Train Loss: 0.4788, Train Accuracy: 66.96, Validation Loss: 0.5113, Validation Accuracy: 67.61%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0.95- , Train Loss: 0.5494, Train Accuracy: 61.87, Validation Loss: 0.7797, Validation Accuracy: 41.94%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0- , Train Loss: 0.0025, Train Accuracy: 95.69, Validation Loss: 0.0575, Validation Accuracy: 97.47%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0.3- , Train Loss: 0.0026, Train Accuracy: 98.02, Validation Loss: 0.0952, Validation Accuracy: 94.96%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0.5- , Train Loss: 0.0044, Train Accuracy: 98.55, Validation Loss: 0.3862, Validation Accuracy: 74.28%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0.7- , Train Loss: 0.0081, Train Accuracy: 98.66, Validation Loss: 0.4059, Validation Accuracy: 73.69%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0.8- , Train Loss: 0.0184, Train Accuracy: 97.82, Validation Loss: 0.3806, Validation Accuracy: 74.39%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0.9- , Train Loss: 0.1122, Train Accuracy: 97.72, Validation Loss: 0.5157, Validation Accuracy: 64.79%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-bottom-0.95- , Train Loss: 0.1720, Train Accuracy: 95.93, Validation Loss: 0.8444, Validation Accuracy: 34.89%
MODEL:resnet18-MNIST-uncertainty_total-bottom-0- , Train Loss: 0.0042, Train Accuracy: 95.60, Validation Loss: 0.0844, Validation Accuracy: 97.47%
MODEL:resnet18-MNIST-uncertainty_total-bottom-0.3- , Train Loss: 0.0011, Train Accuracy: 98.05, Validation Loss: 0.1649, Validation Accuracy: 95.58%
